section,expected_count,url
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2019-41071
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2019-85112
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2017-61961
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2018-39460
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LFSIV/avgjorelse/lf-2018-91633
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2019-30443
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2018-99424
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2018-147988
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2018-152914
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LFSIV/avgjorelse/lf-2018-82338
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2017-94201
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2018-87809
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2017-100799
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2018-17395
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2018-32429
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2018-37955
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2017-155118
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LFSIV/avgjorelse/lf-2015-187242
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2017-194440-2
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2017-149205
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LASIV/avgjorelse/la-2015-189076-2
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2017-46281
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2017-28938
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2016-133934
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2016-65693
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2016-75149
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2016-25961
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2017-66969
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2016-14778
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2016-145913
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2016-32612
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2015-153790
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2015-186095
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2016-48643
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2016-96429
